2000 149
sentiment 2 1 0
worst 2 yes no
worse 2 yes no
witty 2 yes no
waste 2 yes no
worthless 2 yes no
worthwhile 2 yes no
worth 2 yes no
winner 2 yes no
warm 2 yes no
watch 2 yes no
unique 2 yes no
violent 2 yes no
vintage 2 yes no
vigorous 2 yes no
versatile 2 yes no
valuable 2 yes no
thoughtful 2 yes no
thrilling 2 yes no
terrific 2 yes no
terrible 2 yes no
slow 2 yes no
see 2 yes no
superficial 2 yes no
riveting 2 yes no
rich 2 yes no
recommended 2 yes no
recommend 2 yes no
interesting 2 yes no
impressive 2 yes no
heavenly 2 yes no
heartwarming 2 yes no
healthy 2 yes no
happy 2 yes no
greatest 2 yes no
great 2 yes no
grand 2 yes no
graceful 2 yes no
gorgeous 2 yes no
good 2 yes no
golden 2 yes no
glowing 2 yes no
glamorous 2 yes no
gentle 2 yes no
genius 2 yes no
funny 2 yes no
fun 2 yes no
full 2 yes no
fresh 2 yes no
first 2 yes no
finest 2 yes no
fine 2 yes no
fetching 2 yes no
favorite 2 yes no
fast 2 yes no
fascinating 2 yes no
fantastic 2 yes no
famous 2 yes no
fair 2 yes no
exquisite 2 yes no
exotic 2 yes no
exhilaration 2 yes no
exclusive 2 yes no
excited 2 yes no
excite 2 yes no
exciting 2 yes no
exceptional 2 yes no
enjoyable 2 yes no
enjoyed 2 yes no
enjoy 2 yes no
engaging 2 yes no
dull 2 yes no
divine 2 yes no
classic 2 yes no
colorful 2 yes no
beautiful 2 yes no
award 2 yes no
appealing 2 yes no
adore 2 yes no
admirable 2 yes no
absorbing 2 yes no
poor 2 yes no
predictable 2 yes no
perfect 2 yes no
nutty 2 yes no
moody 2 yes no
masterpiece 2 yes no
low 2 yes no
lovely 2 yes no
loved 2 yes no
lousy 2 yes no
lost 2 yes no
longing 2 yes no
lively 2 yes no
limited 2 yes no
liked 2 yes no
like 2 yes no
lacking 2 yes no
hurt 2 yes no
hurried 2 yes no
horrifying 2 yes no
horror 2 yes no
hilarious 2 yes no
hated 2 yes no
hate 2 yes no
gross 2 yes no
grim 2 yes no
grief 2 yes no
gothic 2 yes no
gloomy 2 yes no
disappointing 2 yes no
dreadful 2 yes no
depressing 2 yes no
dark 2 yes no
entertaining 2 yes no
entertain 2 yes no
cynical 2 yes no
crushed 2 yes no
crummy 2 yes no
creepy 2 yes no
crazy 2 yes no
crappy 2 yes no
complicated 2 yes no
clever 2 yes no
brilliant 2 yes no
bright 2 yes no
bummed 2 yes no
boring 2 yes no
bored 2 yes no
bizzare 2 yes no
bitter 2 yes no
best 2 yes no
betrayed 2 yes no
berated 2 yes no
beaten 2 yes no
beat 2 yes no
baffled 2 yes no
bad 2 yes no
awkward 2 yes no
awesome 2 yes no
awful 2 yes no
avoid 2 yes no
atrocious 2 yes no
artificial 2 yes no
argumentative 2 yes no
apprehensive 2 yes no
anxious 2 yes no
annoying 2 yes no
annoyed 2 yes no
annoy 2 yes no
no no no no no no no no no no no no no no no no no no no no no yes no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no yes no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no 1
no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no yes no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no 1
no no no no no no no no no yes no no no no no no no no no no no no no no no no no yes no no no no no no no no no no no no no no no no no no no no yes no no no no no no no no no no no no no no no no no no no no no no no no no yes no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no no 1
